"Module"	"Gene1"	"Gene2"
"M1"	"SLC27A2"	"WFDC3"
"M1"	"SLC27A2"	"TOX3"
"M1"	"SLC27A2"	"COL5A1"
"M1"	"JPH1"	"CRYAB"
"M1"	"CDK1"	"NDRG2"
"M1"	"PINX1"	"PIEZO2"
"M1"	"BCL2L1"	"WISP1"
"M1"	"CREB3"	"HOXA3"
"M1"	"CREB3"	"NFE2"
"M1"	"NEIL2"	"NFE2"
"M1"	"DUSP11"	"NDRG2"
"M1"	"TLE2"	"TBX21"
"M1"	"TLE2"	"SMARCA1"
"M1"	"TLE2"	"DNAJC19"
"M1"	"TLE2"	"NCR3"
"M1"	"TLE2"	"HIST1H4I"
"M1"	"TLE2"	"MMP3"
"M1"	"TLE2"	"PLCL2"
"M1"	"TLE2"	"GATA3"
"M1"	"TLE2"	"IRAK1"
"M1"	"TLE2"	"CHRAC1"
"M1"	"TLE2"	"SMYD2"
"M1"	"TLE2"	"INPPL1"
"M1"	"TLE2"	"PPP1R3G"
"M1"	"TLE2"	"KPNA2"
"M1"	"TLE2"	"NUP155"
"M1"	"TLE2"	"F8A1"
"M1"	"TLE2"	"LRPAP1"
"M1"	"TLE2"	"CLCN3"
"M1"	"TLE2"	"GATA5"
"M1"	"TLE2"	"MUSTN1"
"M1"	"TLE2"	"CHD1"
"M1"	"TLE2"	"AHRR"
"M1"	"TLE2"	"FGF8"
"M1"	"TLE2"	"SARNP"
"M1"	"TLE2"	"MPPED1"
"M1"	"TLE2"	"PTP4A1"
"M1"	"TLE2"	"SNCAIP"
"M1"	"TLE2"	"LRP4"
"M1"	"TLE2"	"NDNL2"
"M1"	"TLE2"	"POU2F2"
"M1"	"TLE2"	"TAL1"
"M1"	"TLE2"	"SNX5"
"M1"	"TLE2"	"TSEN15"
"M1"	"TLE2"	"B3GNT4"
"M1"	"GYS1"	"FBN2"
"M1"	"GYS1"	"HSD11B2"
"M1"	"GYS1"	"ATP1A3"
"M1"	"LOXL1"	"PFKP"
"M1"	"LOXL1"	"PTP4A1"
"M1"	"LOXL1"	"AVP"
"M1"	"LOXL1"	"FAM109B"
"M1"	"LOXL1"	"PLOD2"
"M1"	"LOXL1"	"PARVG"
"M1"	"LOXL1"	"SCARA3"
"M1"	"LOXL1"	"ACAP3"
"M1"	"LOXL1"	"TMEM55A"
"M1"	"LOXL1"	"FBXO24"
"M1"	"CPSF4"	"NDRG2"
"M1"	"CPSF4"	"NEFM"
"M1"	"SUPT20H"	"ASS1"
"M1"	"SUPT20H"	"HECW1"
"M1"	"HSPB6"	"EFEMP1"
"M1"	"HSPB6"	"MT1G"
"M1"	"HSPB6"	"GLMN"
"M1"	"HSPB6"	"ADAM22"
"M1"	"HSPB6"	"EMILIN1"
"M1"	"HSPB6"	"MRPS25"
"M1"	"HSPB6"	"BAZ1A"
"M1"	"HSPB6"	"PAX2"
"M1"	"HSPB6"	"TIMM17A"
"M1"	"HSPB6"	"SH3GLB1"
"M1"	"HSPB6"	"BASP1"
"M1"	"HSPB6"	"WDR12"
"M1"	"HSPB6"	"LPAR4"
"M1"	"HSPB6"	"PTPRU"
"M1"	"HSPB6"	"REN"
"M1"	"HSPB6"	"WDR36"
"M1"	"HSPB6"	"POLR3H"
"M1"	"HSPB6"	"CACNA1C"
"M1"	"HSPB6"	"C1QA"
"M1"	"HSPB6"	"ACVR2B"
"M1"	"HSPB6"	"BDNF"
"M1"	"HSPB6"	"C5AR1"
"M1"	"HSPB6"	"ABCC4"
"M1"	"HSPB6"	"NOSIP"
"M1"	"HSPB6"	"GAS2L2"
"M1"	"HSPB6"	"CCNDBP1"
"M1"	"HSPB6"	"ZNF639"
"M1"	"HSPB6"	"RELA"
"M1"	"HSPB6"	"ADRB1"
"M1"	"HSPB6"	"NOLC1"
"M1"	"HSPB6"	"IMPDH2"
"M1"	"HSPB6"	"RPL26"
"M1"	"HSPB6"	"DOK6"
"M1"	"HSPB6"	"CEP250"
"M1"	"HSPB6"	"SNAP25"
"M1"	"HSPB6"	"TNR"
"M1"	"HSPB6"	"SDC4"
"M1"	"HSPB6"	"ZNF91"
"M1"	"HSPB6"	"SPI1"
"M1"	"HSPB6"	"CXCR2"
"M1"	"HSPB6"	"BRF2"
"M1"	"HSPB6"	"ARL3"
"M1"	"HSPB6"	"ZNF324B"
"M1"	"HSPB6"	"SREBF2"
"M1"	"HSPB6"	"STARD9"
"M1"	"HSPB6"	"TGFB2"
"M1"	"HSPB6"	"KIF26B"
"M1"	"HSPB6"	"SLC37A4"
"M1"	"HSPB6"	"ZNF217"
"M1"	"HSPB6"	"MRPL17"
"M1"	"HSPB6"	"BNIP2"
"M1"	"HSPB6"	"IL12A"
"M1"	"HSPB6"	"LY6G6F"
"M1"	"HSPB6"	"SOCS6"
"M1"	"HSPB6"	"RASGRF2"
"M1"	"HSPB6"	"RPAP3"
"M1"	"HSPB6"	"CHRM2"
"M1"	"HSPB6"	"CDH4"
"M1"	"HSPB6"	"EXOC6"
"M1"	"HSPB6"	"ZNF653"
"M1"	"HSPB6"	"MAP2K4"
"M1"	"HSPB6"	"AHI1"
"M1"	"HSPB6"	"FTCD"
"M1"	"HSPB6"	"HAGH"
"M1"	"HSPB6"	"SETD1A"
"M1"	"HSPB6"	"PDCD7"
"M1"	"HSPB6"	"DDX6"
"M1"	"HSPB6"	"ATP2B4"
"M1"	"HSPB6"	"PSCA"
"M1"	"HSPB6"	"JMJD6"
"M1"	"HSPB6"	"HELZ2"
"M1"	"HSPB6"	"MAP3K8"
"M1"	"HSPB6"	"TGS1"
"M1"	"HSPB6"	"ATP5G3"
"M1"	"HSPB6"	"PSPN"
"M1"	"HSPB6"	"LSP1"
"M1"	"HSPB6"	"LYL1"
"M1"	"HSPB6"	"RUNX2"
"M1"	"HSPB6"	"TGDS"
"M1"	"HSPB6"	"CASP12"
"M1"	"HSPB6"	"SEMA3F"
"M1"	"HSPB6"	"KRT8"
"M1"	"HSPB6"	"MCFD2"
"M1"	"HSPB6"	"FADS2"
"M1"	"HSPB6"	"TIPIN"
"M1"	"HSPB6"	"POLR2J"
"M1"	"SYNJ2"	"NFE2"
"M1"	"PTGER4"	"PPL"
"M1"	"PTGER4"	"NFE2"
"M1"	"BAK1"	"BAALC"
"M1"	"NOP58"	"NFE2"
"M1"	"RNF10"	"WISP1"
"M1"	"GLS2"	"NFE2"
"M1"	"FAM3B"	"PAX2"
"M1"	"FAM3B"	"ADCY8"
"M1"	"PPP1R10"	"S100A1"
"M1"	"TRAPPC3L"	"GRIN2B"
"M1"	"PODXL2"	"SRPX"
"M1"	"TP53BP1"	"ADCY2"
"M1"	"GCHFR"	"NFE2"
"M1"	"ARVCF"	"ATP1B1"
"M1"	"F5"	"GBAS"
"M1"	"F5"	"PPP6C"
"M1"	"F5"	"FANCB"
"M1"	"F5"	"SSTR1"
"M1"	"F5"	"IP6K2"
"M1"	"F5"	"WNT3A"
"M1"	"F5"	"HIST1H3B"
"M1"	"F5"	"NEGR1"
"M1"	"F5"	"PER3"
"M1"	"F5"	"SCLT1"
"M1"	"F5"	"NR2C2AP"
"M1"	"F5"	"SLC3A2"
"M1"	"F5"	"PPAP2B"
"M1"	"F5"	"CRY1"
"M1"	"F5"	"FABP1"
"M1"	"F5"	"SPATA13"
"M1"	"F5"	"ADRB2"
"M1"	"F5"	"TLE4"
"M1"	"F5"	"KLHDC9"
"M1"	"F5"	"PTP4A1"
"M1"	"F5"	"RGL2"
"M1"	"F5"	"TOE1"
"M1"	"F5"	"EPHA5"
"M1"	"F5"	"NR2F2"
"M1"	"F5"	"NRARP"
"M1"	"F5"	"GNL1"
"M1"	"F5"	"TAF12"
"M1"	"F5"	"PDCD4"
"M1"	"F5"	"RCC1"
"M1"	"F5"	"MX1"
"M1"	"F5"	"INA"
"M1"	"F5"	"APEH"
"M1"	"F5"	"POU2F1"
"M1"	"F5"	"EHD3"
"M1"	"F5"	"CES1"
"M1"	"F5"	"RRM2"
"M1"	"F5"	"HTR1D"
"M1"	"F5"	"AKAP11"
"M1"	"F5"	"EIF3K"
"M1"	"F5"	"BPIFA1"
"M1"	"F5"	"ALDH2"
"M1"	"F5"	"DTX2"
"M1"	"F5"	"DTX3"
"M1"	"F5"	"KIT"
"M1"	"F5"	"COMMD6"
"M1"	"F5"	"APOBEC3G"
"M1"	"F5"	"SPI1"
"M1"	"F5"	"BRD7"
"M1"	"F5"	"MRPL17"
"M1"	"F5"	"MAP2K4"
"M1"	"F5"	"RAB34"
"M1"	"F5"	"ZNF682"
"M1"	"F5"	"MARK3"
"M1"	"F5"	"RAPH1"
"M1"	"F5"	"EPHA3"
"M1"	"F5"	"SCAMP3"
"M1"	"F5"	"CCDC120"
"M1"	"F5"	"RPS20"
"M1"	"F5"	"EDN1"
"M1"	"EN1"	"NAA15"
"M1"	"EN1"	"ACAD11"
"M1"	"EN1"	"ELN"
"M1"	"EN1"	"EXTL1"
"M1"	"EN1"	"DHRS13"
"M1"	"EN1"	"AEN"
"M1"	"EN1"	"LPAR1"
"M1"	"MED7"	"NFE2"
"M1"	"IGF2BP2"	"SSTR1"
"M1"	"IGF2BP2"	"MRPS25"
"M1"	"IGF2BP2"	"SUB1"
"M1"	"IGF2BP2"	"LPP"
"M1"	"IGF2BP2"	"PTP4A1"
"M1"	"IGF2BP2"	"SELP"
"M1"	"IGF2BP2"	"HSD11B2"
"M1"	"IGF2BP2"	"TFAP2A"
"M1"	"IGF2BP2"	"CACNA1C"
"M1"	"IGF2BP2"	"DCUN1D3"
"M1"	"IGF2BP2"	"EEF1B2"
"M1"	"IGF2BP2"	"POTEE"
"M1"	"IGF2BP2"	"HAUS1"
"M1"	"IGF2BP2"	"DNAJB2"
"M1"	"IGF2BP2"	"TMEM167B"
"M1"	"IGF2BP2"	"LHCGR"
"M1"	"IGF2BP2"	"TRIM35"
"M1"	"IGF2BP2"	"SPTBN2"
"M1"	"IGF2BP2"	"EFNA2"
"M1"	"IGF2BP2"	"ALPK1"
"M1"	"IGF2BP2"	"BCCIP"
"M1"	"IGF2BP2"	"SAG"
"M1"	"IGF2BP2"	"C10orf32"
"M1"	"IGF2BP2"	"ORMDL3"
"M1"	"IGF2BP2"	"FGFR1"
"M1"	"PCGF1"	"CCDC8"
"M1"	"F13A1"	"NDRG2"
"M1"	"OVOL1"	"NFE2"
"M1"	"DNAJB6"	"MOXD1"
"M1"	"DNAJB6"	"VLDLR"
"M1"	"PAX8"	"RLBP1"
"M1"	"PAX8"	"FOLR3"
"M1"	"PAX8"	"PTP4A1"
"M1"	"PAX8"	"KPTN"
"M1"	"HAND1"	"VLDLR"
"M1"	"HAND1"	"SKAP2"
"M1"	"HAND1"	"MLIP"
"M1"	"GTF2A1L"	"FLNC"
"M1"	"GTF2A1L"	"ZIC3"
"M1"	"GSTM1"	"HOMER1"
"M1"	"GSTM1"	"PPL"
"M1"	"GSTM1"	"BCAP29"
"M1"	"GSTM1"	"CHCHD4"
"M1"	"GSTM1"	"PTP4A1"
"M1"	"GSTM1"	"PBK"
"M1"	"GSTM1"	"H2BFM"
"M1"	"GSTM1"	"CCL5"
"M1"	"GSTM1"	"TAPBP"
"M1"	"GSTM1"	"NOLC1"
"M1"	"GSTM1"	"PTN"
"M1"	"GSTM1"	"TRIM71"
"M1"	"GSTM1"	"RBM15B"
"M1"	"GSTM1"	"CCDC23"
"M1"	"GSTM1"	"DNTTIP1"
"M1"	"GSTM1"	"SLC37A4"
"M1"	"GSTM1"	"YAE1D1"
"M1"	"GSTM1"	"DCAF6"
"M1"	"GSTM1"	"CSNK2B"
"M1"	"GSTM1"	"ADAM2"
"M1"	"GSTM1"	"LINGO1"
"M1"	"GSTM1"	"ADPRM"
"M1"	"GSTM1"	"IVD"
"M1"	"GSTM1"	"DUSP21"
"M1"	"LRRC41"	"WISP1"
"M1"	"TIMP4"	"MAD2L2"
"M1"	"TIMP4"	"NR2C2AP"
