Pair Compared	DIFF	LWR	UPR	P.adj
Low-grade glioma/astrocytoma, RTK-Low-grade glioma/astrocytoma, FGFR	-15.261607142857095	-38.315284867586534	7.792070581872345	0.7389295788029988
High-grade glioma/astrocytoma, H3 G35-mutant-High-grade glioma/astrocytoma (WHO grade III/IV)	17.800416666666095	-9.477062676007062	45.077896009339256	0.763020265850155
Low-grade glioma/astrocytoma, other MAPK, IDH-High-grade glioma/astrocytoma, H3 G35-mutant	-33.43999999999933	-84.87490831167976	17.9949083116811	0.7690529709738088
Low-grade glioma/astrocytoma, FGFR-Low-grade glioma/astrocytoma (WHO grade I/II)	14.964107142857081	-8.089570581872358	38.01778486758652	0.7716266553165794
Low-grade glioma/astrocytoma, wildtype-High-grade glioma/astrocytoma, IDH-mutant	-20.687959183673577	-52.82165304951507	11.445734682167917	0.7844675427293901
Medulloblastoma, group 3-Low-grade glioma/astrocytoma, NF1-somatic, FGFR	-29.845454545454785	-76.37007963532105	16.679170544411477	0.7899679308628161
Medulloblastoma, SHH-activated-Low-grade glioma/astrocytoma, NF1-somatic, FGFR	-28.374782608695888	-73.87676358542753	17.12719836803575	0.8301671555467436
Medulloblastoma, group 3-Low-grade glioma/astrocytoma, wildtype	-9.117495361781101	-23.97924169444299	5.74425097088079	0.8508522214028945
Medulloblastoma, group 4-Low-grade glioma/astrocytoma, NF1-somatic, FGFR	-27.410425531915095	-72.42574031338461	17.60488924955441	0.8597135632501098
Low-grade glioma/astrocytoma, BRAF V600E-High-grade glioma/astrocytoma, IDH-mutant	-19.47156250000011	-51.938256906126185	12.995131906125962	0.8765250361566509
Low-grade glioma/astrocytoma, FGFR-High-grade glioma/astrocytoma, H3 G35-mutant	-18.337142857142332	-49.07537982344825	12.401094109163587	0.8820530544614622
Low-grade glioma/astrocytoma, RTK, CDKN2A/B-High-grade glioma/astrocytoma (WHO grade III/IV)	-19.4795833333333	-52.26303347847258	13.303866811805978	0.8860667580430841
Low-grade glioma/astrocytoma, BRAF V600E, CDKN2A/B-High-grade glioma/astrocytoma, IDH-mutant	-22.735000000000078	-61.311181233760394	15.841181233760238	0.8939926375320718
Medulloblastoma, group 3-Low-grade glioma/astrocytoma (WHO grade I/II)	-12.164204545454565	-32.86199882590962	8.533589735000495	0.8966106779409577
Medulloblastoma, SHH-activated-Low-grade glioma/astrocytoma (WHO grade I/II)	-10.693532608695667	-28.977083170068376	7.590017952677043	0.9010142224119653
Medulloblastoma-Low-grade glioma/astrocytoma, NF1-somatic, FGFR	-26.66166666666689	-72.42621174415586	19.10287841082208	0.9044799847698389
Medulloblastoma, WNT-activated-Low-grade glioma/astrocytoma, KIAA1549-BRAF	-8.873696581196562	-24.350807643566664	6.603414481173541	0.9176591844292352
Medulloblastoma, group 3-Low-grade glioma/astrocytoma, RTK	-11.866704545454551	-32.56449882590961	8.831089735000509	0.9176746012582342
Medulloblastoma, group 4-Low-grade glioma/astrocytoma (WHO grade I/II)	-9.729175531914876	-26.765504749155653	7.3071536853259005	0.9206843804785335
Medulloblastoma, SHH-activated-Low-grade glioma/astrocytoma, RTK	-10.396032608695654	-28.679583170068362	7.887517952677056	0.9239219201863874
Medulloblastoma-Low-grade glioma/astrocytoma, other MAPK	-8.921666666666658	-24.79482398163733	6.951490648304011	0.9320104481389555
Medulloblastoma, WNT-activated-Low-grade glioma/astrocytoma, NF1-somatic, FGFR	-26.368888888889096	-73.32232143141798	20.58454365363979	0.9325597626830643
Low-grade glioma/astrocytoma, NF1-somatic-High-grade glioma/astrocytoma (WHO grade III/IV)	-25.269583333333323	-70.73204890445525	20.19288223778861	0.9391333482740607
Medulloblastoma, group 4-Low-grade glioma/astrocytoma, RTK	-9.431675531914863	-26.46800474915564	7.604653685325914	0.941532169293014
Low-grade glioma/astrocytoma, IDH-High-grade glioma/astrocytoma, IDH-mutant	-21.212500000000063	-59.78868123376038	17.363681233760254	0.9454274217939737
Low-grade glioma/astrocytoma, KIAA1549-BRAF-High-grade glioma/astrocytoma, IDH-mutant	-17.45519230769243	-49.25392901956469	14.34354440417983	0.9463962646886772
Medulloblastoma-Low-grade glioma/astrocytoma, BRAF V600E	-7.150104166666674	-20.273987534422343	5.973779201088995	0.9504100370338364
Low-grade glioma/astrocytoma, MYB/MYBL1-Low-grade glioma/astrocytoma, H3	27.860000000000294	-23.574908311680137	79.29490831168073	0.9533435057529969
Low-grade glioma/astrocytoma, RTK, CDKN2A/B-High-grade glioma/astrocytoma, H3 wildtype	-17.508750000000017	-49.97544440612609	14.957944406126057	0.9554598186326528
Low-grade glioma/astrocytoma, NF1-germline-Low-grade glioma/astrocytoma, MYB/MYBL1	-27.44000000000026	-78.87490831168068	23.99490831168017	0.9603296822732108
Low-grade glioma/astrocytoma, RTK, CDKN2A/B-Low-grade glioma/astrocytoma, FGFR	-18.94285714285706	-54.65746110154106	16.77174681582694	0.9627618677721438
Low-grade glioma/astrocytoma, other MAPK-High-grade glioma/astrocytoma, IDH-mutant	-17.700000000000127	-51.37205152876996	15.972051528769708	0.9662651944616489
Low-grade glioma/astrocytoma, NF1-somatic-Low-grade glioma/astrocytoma, FGFR	-24.732857142857085	-72.35232908776909	22.886614802054922	0.9705125242910521
Low-grade glioma/astrocytoma, NF1-somatic-High-grade glioma/astrocytoma, H3 wildtype	-23.29875000000004	-68.5333321031586	21.935832103158518	0.9731900079789333
Low-grade glioma/astrocytoma, RTK-High-grade glioma/astrocytoma, IDH-mutant	-17.938750000000127	-53.15382440689679	17.276324406896535	0.9764081235780648
Low-grade glioma/astrocytoma, NF1-somatic-High-grade glioma/astrocytoma, IDH-mutant	-27.410000000000117	-81.96495868534643	27.144958685346197	0.9799504455872482
Low-grade glioma/astrocytoma (WHO grade I/II)-High-grade glioma/astrocytoma, IDH-mutant	-17.641250000000113	-52.856324406896775	17.57382440689655	0.9806410758909974
Low-grade glioma/astrocytoma, other MAPK, IDH-Low-grade glioma/astrocytoma, MYB/MYBL1	-25.610000000000237	-77.04490831168067	25.824908311680193	0.9820107410372829
Low-grade glioma/astrocytoma, RTK, CDKN2A/B-High-grade glioma/astrocytoma, IDH-mutant	-21.620000000000093	-66.16393723923872	22.92393723923853	0.9868608064616455
Medulloblastoma-Low-grade glioma/astrocytoma, wildtype	-5.933707482993208	-18.210692066077737	6.343277100091321	0.987539595828324
Medulloblastoma-Low-grade glioma/astrocytoma (WHO grade I/II)	-8.980416666666672	-27.907950432927507	9.947117099594164	0.9901599854888844
Low-grade glioma/astrocytoma, wildtype-Low-grade glioma/astrocytoma, NF1-somatic, FGFR	-20.727959183673683	-65.72413073026456	24.26821236291719	0.9933305494156318
Medulloblastoma-Low-grade glioma/astrocytoma, RTK	-8.682916666666658	-27.610450432927493	10.244617099594178	0.9936941252916263
Low-grade glioma/astrocytoma, NF1-somatic, FGFR-Low-grade glioma/astrocytoma, BRAF V600E, CDKN2A/B	22.775000000000183	-27.02663582621075	72.57663582621112	0.9939548361315669
Medulloblastoma, WNT-activated-Low-grade glioma/astrocytoma, other MAPK	-8.628888888888863	-27.660135945298418	10.402358167520692	0.9946212816471096
Low-grade glioma/astrocytoma, MYB/MYBL1-High-grade glioma/astrocytoma, H3 wildtype	11.941250000000288	-14.954707345517392	38.83720734551797	0.9959793571187012
Low-grade glioma/astrocytoma, NF1-somatic, FGFR-Low-grade glioma/astrocytoma, NF1-somatic	27.450000000000223	-35.544640165227	90.44464016522744	0.9969153519770966
Low-grade glioma/astrocytoma, NF1-somatic, FGFR-Low-grade glioma/astrocytoma, BRAF V600E	19.511562500000217	-25.723019603158342	64.74614460315877	0.9973354054169634
Low-grade glioma/astrocytoma, NF1-somatic, FGFR-Low-grade glioma/astrocytoma, IDH	21.25250000000017	-28.549135826210765	71.05413582621111	0.9977202548693662
Low-grade glioma/astrocytoma, wildtype-Low-grade glioma/astrocytoma, KIAA1549-BRAF	-3.2327668759811488	-10.951030486493726	4.485496734531429	0.998270060715221
Medulloblastoma, WNT-activated-Low-grade glioma/astrocytoma, BRAF V600E	-6.857326388888879	-23.664097525152513	9.949444747374756	0.9988357866108577
Medulloblastoma, WNT-activated-Low-grade glioma/astrocytoma (WHO grade I/II)	-8.687638888888877	-30.33210182630626	12.956824048528507	0.9990956503433838
Low-grade glioma/astrocytoma, RTK, CDKN2A/B-Low-grade glioma/astrocytoma, NF1-somatic, FGFR	-21.6600000000002	-76.21495868534652	32.89495868534611	0.9992370535304356
Low-grade glioma/astrocytoma, H3-High-grade glioma/astrocytoma (WHO grade III/IV)	-17.889583333333288	-63.352048904455216	27.572882237788644	0.9993371072763311
Low-grade glioma/astrocytoma, NF1-somatic, FGFR-Low-grade glioma/astrocytoma, KIAA1549-BRAF	17.495192307692534	-27.26238614397962	62.25277075936469	0.9994035918750281
Medulloblastoma, WNT-activated-Low-grade glioma/astrocytoma, RTK	-8.390138888888863	-30.034601826306247	13.25432404852852	0.999478055330284
High-grade glioma/astrocytoma, IDH-mutant-High-grade glioma/astrocytoma, H3 G35-mutant	-15.6599999999993	-56.32286537670828	25.00286537670968	0.99952988201095
Low-grade glioma/astrocytoma, other MAPK-Low-grade glioma/astrocytoma, NF1-somatic, FGFR	-17.740000000000233	-63.847355449459116	28.367355449458646	0.999536982897087
Low-grade glioma/astrocytoma, NF1-germline-High-grade glioma/astrocytoma (WHO grade III/IV)	-17.469583333333254	-62.932048904455186	27.992882237788677	0.9995464049942764
Low-grade glioma/astrocytoma, RTK-Low-grade glioma/astrocytoma, NF1-somatic, FGFR	-17.978750000000232	-65.22473012392064	29.26723012392018	0.9996126667202143
Low-grade glioma/astrocytoma, NF1-somatic, FGFR-Low-grade glioma/astrocytoma (WHO grade I/II)	17.68125000000022	-29.564730123920192	64.92723012392062	0.9997052361237415
Low-grade glioma/astrocytoma, H3-High-grade glioma/astrocytoma, IDH-mutant	-20.030000000000083	-74.5849586853464	34.524958685346235	0.9997853698297152
Low-grade glioma/astrocytoma, MYB/MYBL1-High-grade glioma/astrocytoma (WHO grade III/IV)	9.970416666667006	-17.30706267600615	37.24789600934017	0.9998008214118616
Low-grade glioma/astrocytoma, H3-Low-grade glioma/astrocytoma, FGFR	-17.35285714285705	-64.97232908776905	30.266614802054956	0.9998107519256596
Low-grade glioma/astrocytoma, NF1-germline-High-grade glioma/astrocytoma, IDH-mutant	-19.61000000000005	-74.16495868534636	34.944958685346265	0.9998498178992077
Low-grade glioma/astrocytoma, NF1-germline-Low-grade glioma/astrocytoma, FGFR	-16.932857142857017	-64.55232908776902	30.68661480205499	0.9998751045530083
Low-grade glioma/astrocytoma, H3-High-grade glioma/astrocytoma, H3 wildtype	-15.918750000000006	-61.15333210315856	29.315832103158552	0.9998954920754032
Medulloblastoma, WNT-activated-Low-grade glioma/astrocytoma, wildtype	-5.640929705215413	-21.795049669781285	10.51319025935046	0.99990860903949
Low-grade glioma/astrocytoma, other MAPK, IDH-High-grade glioma/astrocytoma (WHO grade III/IV)	-15.639583333333231	-61.10204890445516	29.8228822377887	0.9999295599849567
Low-grade glioma/astrocytoma, NF1-germline-High-grade glioma/astrocytoma, H3 wildtype	-15.498749999999973	-60.73333210315853	29.735832103158586	0.9999343508143533
Low-grade glioma/astrocytoma, MYB/MYBL1-Low-grade glioma/astrocytoma, FGFR	10.507142857143243	-20.231094109162676	41.24537982344916	0.9999370035743327
Medulloblastoma, group 3-Low-grade glioma/astrocytoma, IDH	-8.592954545454615	-34.60101062761292	17.415101536703695	0.9999655631269251
Low-grade glioma/astrocytoma, other MAPK, IDH-High-grade glioma/astrocytoma, IDH-mutant	-17.780000000000026	-72.33495868534634	36.77495868534629	0.9999730806892027
Low-grade glioma/astrocytoma, NF1-somatic, FGFR-Low-grade glioma/astrocytoma, H3	20.07000000000019	-42.92464016522703	83.06464016522742	0.9999821897227936
Low-grade glioma/astrocytoma, other MAPK, IDH-Low-grade glioma/astrocytoma, FGFR	-15.102857142856994	-62.722329087769	32.51661480205502	0.9999836112729856
Low-grade glioma/astrocytoma, NF1-somatic, FGFR-Low-grade glioma/astrocytoma, NF1-germline	19.650000000000155	-43.34464016522707	82.64464016522737	0.9999879381973269
Low-grade glioma/astrocytoma, NF1-somatic, FGFR-High-grade glioma/astrocytoma, H3 G35-mutant	-15.619999999999195	-67.05490831167963	35.814908311681236	0.9999926842958209
Low-grade glioma/astrocytoma, other MAPK, IDH-High-grade glioma/astrocytoma, H3 wildtype	-13.66874999999995	-58.903332103158505	31.56583210315861	0.9999933391862692
Medulloblastoma, SHH-activated-Low-grade glioma/astrocytoma, IDH	-7.122282608695718	-31.253352088246885	17.008786870855452	0.9999957343196153
Low-grade glioma/astrocytoma, other MAPK, IDH-Low-grade glioma/astrocytoma, NF1-somatic, FGFR	-17.82000000000013	-80.81464016522736	45.17464016522709	0.9999981152585053
Medulloblastoma, group 3-Low-grade glioma/astrocytoma, BRAF V600E, CDKN2A/B	-7.0704545454546	-33.07851062761291	18.93760153670371	0.9999991347524235
Medulloblastoma, group 4-Low-grade glioma/astrocytoma, IDH	-6.157925531914927	-29.358287733718267	17.042436669888414	0.9999994619176664
Medulloblastoma, group 3-Low-grade glioma/astrocytoma, other MAPK, IDH	-12.025454545454652	-58.55007963532091	34.49917054441161	0.9999996836796456
Medulloblastoma, group 3-Low-grade glioma/astrocytoma, RTK, CDKN2A/B	-8.185454545454585	-42.42665147789255	26.055742386983383	0.9999999356832121
Low-grade glioma/astrocytoma, KIAA1549-BRAF-Low-grade glioma/astrocytoma, BRAF V600E, CDKN2A/B	5.279807692307649	-17.416427023558004	27.976042408173303	0.9999999634362626
Medulloblastoma, SHH-activated-Low-grade glioma/astrocytoma, BRAF V600E, CDKN2A/B	-5.599782608695703	-29.73085208824687	18.531286870855467	0.9999999652643886
Medulloblastoma, SHH-activated-Low-grade glioma/astrocytoma, other MAPK, IDH	-10.554782608695755	-56.05676358542739	34.947198368035885	0.9999999655557683
