"genes"	"modules"
"SEMA3E"	"M2"
"SLC6A17"	"M1"
"LAMP5"	"M3"
"FBLN5"	"M7"
"CAPN6"	"M7"
"MED12L"	"M5"
"SALL1"	"M6"
"HTR1A"	"M2"
"TNNT1"	"M3"
"ATOH1"	"M4"
"RASGRF1"	"M5"
"PIANP"	"M4"
"MYH11"	"M7"
"MPPED1"	"M2"
"SNPH"	"M6"
"FOSB"	"M7"
"OLIG1"	"M6"
"PRPH"	"M3"
"NDNF"	"M1"
"CLMP"	"M3"
"LDLRAP1"	"M4"
"ZNF727"	"M8"
"TMEM200C"	"M4"
"UTY"	"Not.Correlated"
"HOXA7"	"M2"
"MT3"	"M6"
"PBX3"	"M3"
"KCNQ5"	"M2"
"COL2A1"	"M1"
"DRD2"	"M4"
"KCNK12"	"M4"
"WDR86"	"M5"
"SLFN13"	"M2"
"RGS7BP"	"M2"
"GPR37L1"	"M6"
"PLEKHG4B"	"M4"
"CERKL"	"M4"
"CHODL"	"M2"
"GNG3"	"M4"
"BMPR1B"	"M6"
"PTCHD1"	"M5"
"FOXN4"	"M8"
"PDE10A"	"M5"
"SIX3"	"M2"
"PIWIL2"	"M8"
"TBX3"	"M2"
"POSTN"	"M7"
"CALB2"	"M6"
"DLL1"	"M5"
"POLR2J2"	"M2"
"HPCAL4"	"M5"
"SLC4A10"	"M8"
"IGSF11"	"M1"
"HOOK1"	"M2"
"NTNG1"	"M2"
"CRHR1"	"M2"
"TBC1D3L"	"Not.Correlated"
"PCDHA2"	"M2"
"FBXO2"	"M2"
"PDE6B"	"M1"
"GABRA2"	"M5"
"PDGFA"	"M3"
"GLRA2"	"M2"
"SLC8A3"	"M5"
"CDKN1C"	"M3"
"TRH"	"M5"
"CHI3L1"	"M1"
"HAS3"	"M8"
"PHACTR3"	"M5"
"SFRP5"	"M3"
"CACNA1D"	"M4"
"COL14A1"	"M7"
"SAMD3"	"M8"
"PROM1"	"M1"
"KCNJ11"	"M2"
"CACNA1F"	"M1"
"FSD1"	"M4"
"SMOC2"	"M7"
"EYA1"	"M7"
"SERTAD4"	"M3"
"TWIST1"	"M1"
"TDRD9"	"M1"
"MYO5B"	"M1"
"HOXD3"	"M1"
"HIST1H4F"	"M2"
"MEGF10"	"M6"
"TNNC1"	"M1"
"CRB1"	"M4"
"MET"	"M7"
"ACTN2"	"M2"
"NTF3"	"M2"
"GPR68"	"M4"
"MYOG"	"M1"
"RAX2"	"M1"
"PRRG3"	"M2"
"SOX8"	"M6"
"DNAH2"	"M1"
"ITGBL1"	"M7"
"FEZF1"	"M2"
"NTN4"	"M5"
"PCDH10"	"M6"
"LGR5"	"M1"
"LLGL2"	"M1"
"PTGIS"	"M7"
"ACTA1"	"M3"
