pathway_description	BS_B1C6GZ84	BS_W4DB5RP1	BS_EZ3147MX	BS_GW0GKWMS	BS_2A5R9MEJ	BS_5965SFPZ	BS_9FX3YREK	BS_XG0DBWVT	BS_MDBT7S5Z	BS_MB7WN0ZB	BS_3MS8WVNR	BS_52MPKTJH	BS_PQVTB6BB	BS_TXZ7KHTQ	BS_TGS109T3	BS_YEW22W35	BS_JVW2JJ39	BS_052PZFMK	BS_5P1TN10Z	BS_B4R7X1KE	BS_T9A8JJW5	BS_RJC3WDD6	BS_WBVSK3MP	BS_FKASA3MN	BS_JJVH7WR0	BS_AWH9757B	BS_FEV5A0HN	BS_FX2P2WEG	BS_DS438CXE	BS_45J79YTF	BS_X4X1SFSE	BS_V3Z3DB4N	BS_TVH33J9Q	BS_SY3J3XR9	BS_WQ1YRTAT	BS_MG78HQDM	BS_G5NHSFD4	BS_F9Y4Z92G	BS_D6J2BGDJ	BS_MD0937XT	BS_M0XGZ53Z	BS_JTWNJ8T7	BS_JQXHHK0K	BS_M0QYNVK8	BS_8PNA0V6R
KEGG_O_GLYCAN_BIOSYNTHESIS	797.1033392196969	996.7549536100323	359.84006906649665	1774.9884263092881	1048.3679955020343	1069.1525946401289	1123.5037506231201	1368.179727696026	1424.7597288615543	1577.5580701315575	124.92254850882455	1606.609133551423	692.3520366700177	1434.9054553069673	950.881281909511	1078.9092325649963	-283.06545941577315	900.8792895377501	-277.20623272451667	228.81305991314002	917.0901590553785	160.1921507231673	110.14555672563802	106.70375114304079	448.0133037222495	897.1734466072285	688.0452521914594	1074.5539331528198	1704.102780958554	821.6545202481757	1597.0577530837963	717.7534656810494	986.3780112182849	1339.7540936447876	881.6167535346158	585.6964628317037	698.9876744791927	945.8724567963636	1277.514925807869	499.96382556734716	1010.2851502486956	663.1397018390253	1116.4378059361497	324.95823011875837	810.3797706790901
KEGG_OLFACTORY_TRANSDUCTION	-7428.335756773755	-7174.022000248244	-7321.847716279353	-7430.99034087992	-7030.493182220387	-7348.9796542679205	-6885.043077911069	-7491.60055483316	-7490.944789670759	-7319.519316972424	-7401.744004121829	-7420.019515858647	-7279.776202380217	-7666.3873784734315	-7396.825479356564	-7538.157163538615	-7379.048233207794	-7494.601193953393	-7628.472984336602	-7049.2504900835065	-7304.792709184549	-6791.201967415414	-7527.057007843534	-7234.956405808968	-7287.540905298436	-7250.119328279775	-7230.735946691584	-7299.211705159909	-7713.726220342528	-7397.1346623259105	-7261.257433406614	-7209.497852591599	-7377.70681916523	-7391.787069844906	-6489.302417242455	-7328.363912373282	-6997.81934040301	-6559.643387656425	-7258.600534051432	-7516.0400528776445	-7420.3480916199105	-6180.502383678886	-7170.152130885657	-7530.35382871642	-7243.735562214008
KEGG_ONE_CARBON_POOL_BY_FOLATE	2994.8799542933302	2698.84431331853	2595.744525776163	2855.7646347922837	2834.0572165019767	2692.809884291115	2895.9996368177235	2654.1377391001006	3305.7806685936666	2026.7220349295658	2706.0483414117116	2300.601178937208	2589.114227786058	2625.502041060212	2440.844541610666	3674.4404677528964	3409.9314510306885	2909.1115719612862	3013.1038659163896	2469.6186174013437	2967.613651613179	1963.3086825294195	2597.055080289332	2683.3190064120554	3439.874513532208	2262.334520306942	1598.2783595901928	2486.871571617623	2546.6713916983263	2979.0798661471763	2378.3020707745745	2699.6535427662857	2638.2342306816827	2759.652795196105	1747.0235830269758	3220.604753921649	3741.5551025393925	1616.4490193612037	2684.455619597413	4265.188379594552	3234.2439612293874	1684.3780868666145	3384.138149188733	3686.2752500679726	2748.967940104136
KEGG_OOCYTE_MEIOSIS	3496.5671109318264	3091.1680903746164	3214.369268558772	3150.6576259567373	3003.3610491720356	3063.0226327934506	3108.5636259200164	3245.7763654170667	3458.0224191329653	3440.9495078720447	3757.3999423422847	3142.416998475219	2927.968037587858	3209.6435829763814	3501.8463829287593	3712.1553931012077	3490.200491585967	3850.025664305833	3382.2291352878365	3138.213599992283	3477.722707295041	3116.9448939023387	2900.998659969873	3415.6771131543646	3463.089071642009	3446.387196040456	3433.4211887376186	3485.702565950245	3157.7089798645884	3583.3654279201583	3524.166940285444	3729.148537180954	3643.252993500384	3031.265509159897	3235.5170182693582	3505.3472855708587	3472.5077160460223	3309.0246423872613	2972.428305545731	3601.964825720077	3529.379453694495	2975.4094453450434	3643.4911092371876	3357.688147185032	3229.650581400898
KEGG_OTHER_GLYCAN_DEGRADATION	1149.0764609318867	2200.904503875885	2123.3897050153464	2821.6137186059786	2266.1442039815756	2457.6843233634136	2403.2667847395114	2409.6933798174105	2082.43199392112	2171.054595200625	2191.176967222298	1957.6004188052702	2548.4437409958937	2762.8155574611847	2459.2583777456894	2571.2226061604215	2412.3673078950796	2168.891606668647	1992.281890438795	2280.957860069335	2949.7900495029917	2131.8643980009656	1718.1979067057491	1605.584864531702	2095.7312711772793	2089.1195704594684	1291.82087262417	3979.878267047212	2839.8943474354073	2815.117758979799	1807.780534207901	1597.9936676145335	1790.1211108469724	2743.8391859644635	1612.173697701297	947.4385049817047	2118.781035423546	1880.4524970962284	3078.5780904448166	1713.1129788539802	2286.965638518288	2246.861963040519	1852.7752229166163	1872.061150301819	3665.180239461464
KEGG_OXIDATIVE_PHOSPHORYLATION	3584.682607124183	2135.9659842732544	4117.9622271826665	3958.113067543003	3942.01743746789	4063.662008202882	3344.1987304358863	3918.8573279200773	4362.079531174448	3773.410690053506	3981.7011961939133	4250.181050714355	4277.817337806944	4420.586847968138	4140.1208953454025	4076.986073222888	4131.706209948346	3403.747934565692	3515.0617042679823	4247.807733140344	3085.6485951240375	3324.0016138698284	2543.9488149077933	2551.760164249503	2767.2349055002323	4217.025219673826	3894.2639207100565	3701.075207514881	4134.077527652878	4064.234369592399	3905.971352639848	3749.0938069646054	3033.3293998765294	2901.9315634993036	3165.916535667704	2891.1958880199636	2858.1605317702797	4349.611270097732	2698.6299023586816	2487.956672420336	2498.5299686236704	3212.170102858823	3898.987800945024	3699.7289044799527	4411.409274717924
KEGG_P53_SIGNALING_PATHWAY	2658.016996512084	2405.276913806347	2586.540896247854	2884.9885948081446	2234.59575394485	2136.9665904056783	1967.5762109262214	2768.909404365744	2789.4400010804766	2990.690305478067	2694.851560334466	1414.9329503596182	2015.5484594205136	2747.2370084826307	2717.394785619699	2397.913851741492	2875.769615586789	3434.712351895838	2880.7592658766007	2357.6018416560873	2802.772908925346	1455.576075108649	2582.190373984813	2637.9105714962207	2896.339350785167	2651.4801010560714	2467.380538377127	3271.6209479854188	3233.3229706391576	2728.898841521326	2501.4458833895205	2605.0275086229776	3280.3966691190835	1452.712354372803	1881.8642387263062	2935.7581136396893	2522.628503544107	1315.4830354987062	2377.4386369014337	2993.511999286122	2552.863089429389	1735.0033431302272	1827.5999514936502	2694.660630119457	1968.7732144715883
KEGG_PANCREATIC_CANCER	4818.924793581058	4208.887479900408	4597.224811085782	4569.425017367665	4093.958116106407	4395.267431523338	4085.0129526388264	4719.438106019699	4389.739419896292	4439.193040021848	4882.874654483905	3573.9778232876124	4253.678857180563	4562.797387738883	4819.031087470399	4379.991039089313	4251.587429648631	4809.433702040566	4539.216250078229	4618.622766445897	4926.649906539837	4220.424703939476	4572.95856416174	4311.48986564426	4472.878816637758	4559.291236153176	4138.316034750815	4655.562065226042	4361.487422303269	4380.439103496505	4455.21819518098	4766.715282299527	4477.743945759925	4246.44372759088	3486.970340132035	4117.000720771968	4742.95796176329	4066.3738327541014	4527.473566824139	4504.698235629394	4300.134450980813	3503.699822691331	3963.8615314728304	4511.215424056429	4600.1075334581255
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	-37.64600912883179	158.376004152542	199.70829679534836	-22.346985117545046	213.67085811325524	-494.7844214652596	359.63945326958856	211.0845734259383	65.53150820125302	638.7104068055833	-767.4220883947655	202.29128679741552	-46.86539809429087	497.2137682370703	440.78663034217425	351.1379178098978	880.776040055147	693.2273132156643	651.3041525724002	-700.6564387726958	247.3264461974286	182.7862294324823	91.93366563303607	7.644634932577901	741.4613833444582	-399.1032908737525	224.48882581665566	919.868116862981	732.0317862170741	80.09546285428769	-3.7582612577862164	-121.1576115308635	456.84244730735736	161.5492237954204	578.1199048758299	422.1289598474923	155.8365251743562	-159.5433526087727	646.9967666918765	597.9315458033288	419.80156499173063	140.0295863355168	388.91131620430133	136.843633051265	-473.9312045776951
KEGG_PARKINSONS_DISEASE	4126.399404876296	2856.868586005574	4580.249431666389	4374.052352912282	4448.466202260128	4491.577404982292	3862.1234844603914	4345.048497483633	4603.622890850356	4056.9958384968886	4407.887310921658	4503.807586064069	4594.798107963201	4910.0085090245775	4692.274147928905	4492.164395596421	4477.075993744998	4093.3333129947096	4065.4089470738	4595.110337508233	3612.1354083242095	3553.4647965991953	2851.027696901552	3147.4493516666043	3272.113705569307	4482.312658794104	4421.47556842509	3960.070255091119	4623.787666733606	4363.652270502265	4426.468814295136	4152.115089342526	3555.3480681345973	3428.643813457944	3575.1629676621596	3383.2391979038475	3351.114855527927	4563.956115288838	3196.248199698224	3229.5879945872675	2901.8221459607703	3376.20021034361	4364.0746812374055	4152.861078998982	4680.491310146252
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	4910.580572130029	4221.73904046389	4987.730162776725	4907.851437492192	4397.568786777525	4683.276383532708	4187.369421188769	4887.78383427486	4620.568961698322	4694.198743850326	4993.789342918119	4553.716595257014	4551.839263795891	4813.047658339943	4648.570569676331	4434.655079458989	4663.3779469038545	4830.459810491682	4225.38054656102	4208.135522117167	4840.275142834271	4047.6213664887073	4009.1359372746683	3988.708986490874	4116.435706347742	4936.104196207485	4485.758800562071	5056.530013844353	4814.193280410604	4456.501898275965	4704.5105567054125	5120.648907398658	4531.054024654262	4018.0730322823456	3783.668830395516	4083.6287796563774	4568.890314501066	4693.821240000116	4353.023808108837	3882.2666143837523	4509.1132303142	3949.243093503692	4799.996070560412	4288.464703869002	4838.2574654641085
KEGG_PATHWAYS_IN_CANCER	3286.4511988341565	3470.2692273185294	3098.8950297422143	3362.9575362911874	2935.0781099478572	3222.8236210311934	3207.9770198387687	3214.281495193756	3272.3495432355066	3055.93940262053	3225.2958715860896	2571.1697661349954	3209.20786708426	3145.8365869436657	3276.193445908475	3111.2249308672617	2673.4684921877415	3211.8192426880814	3011.459596867777	3151.280011253175	3408.904058004944	2811.592187821694	3021.2815679994364	2835.701501102665	2990.9937805619247	2968.43272921676	2890.3496926414573	3005.501828569548	3785.2191805635775	2975.6223738703866	2995.344144223389	3175.2947086773074	2897.070429818974	2917.319178101421	2517.6711424145124	2578.8725522913064	3132.25011780728	2747.9902253965483	3108.274603574626	3166.1980895921897	2953.0910056606863	2681.9265238396474	2594.0573175887093	3133.4974500322205	3108.2755279706525
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	-3366.303515542072	-3719.171380998255	-2902.713380931609	-3050.6491922367877	-3231.904870133336	-3543.9071695788707	-3701.3381080992085	-3132.047209236701	-3480.622280803732	-3450.894289570868	-3267.2239891030995	-3511.5299461065024	-3683.7890682776715	-3121.0932399833364	-3320.0151666181464	-2908.016521773995	-3266.276224159912	-2812.0690720167777	-3017.240646191185	-3488.2522414625973	-3387.946447114441	-3761.835548965756	-3339.2496165665207	-3876.911924648123	-3514.6297837696693	-3298.7097732729044	-3929.620007403889	-3478.311146462821	-3347.3605807085432	-3306.8725974522686	-3625.862931116434	-3369.714728350589	-3706.3354205646783	-3834.1000810056657	-3546.9329080484094	-3301.9438828186594	-3303.3364922914525	-3811.041379346755	-3675.054649278777	-3332.5699535336353	-3664.949417682851	-3671.411658016669	-3465.7655483356803	-3138.104396995941	-3211.170081705246
KEGG_PENTOSE_PHOSPHATE_PATHWAY	3153.6640034236807	1884.4307436026866	2506.312376041851	3186.573586562983	2811.237671549701	2969.8635141922514	2551.3293544474036	2977.9101744236177	2914.5787359162387	2301.8696991649686	3072.053723017494	2444.2533281588403	2890.560320362316	3243.2371071737525	2960.0520643223354	3201.98966437118	2912.3353686554856	2899.562694408245	2853.2006559883357	3163.596192102563	2064.5515254683196	2094.0420914511815	1907.7063968983803	1016.3655344689432	2083.780249654774	2791.2043601560454	2350.8210272016313	2223.4699171295124	2878.497702397881	2131.0491496653212	2641.869126911677	2696.1872160605653	1026.9263202584443	2249.070672802158	1846.165052035256	1208.2391673248385	2410.0445605850473	2560.895390384192	1909.3355323830638	1892.6206043592156	1213.7682348179442	1534.9163140259861	2537.6345475862854	2784.542515915329	2857.540164319842
KEGG_PEROXISOME	1539.6825969697602	1011.5009116865585	2140.604969469903	2176.1666377236816	1953.529727723795	2436.84184745482	1916.514949399896	1496.3718640256047	1472.166920306725	1647.5430496887348	2155.3490370635736	1447.7529878784171	1773.7680448467363	3062.294229073992	1612.6995690061904	2010.3487073929482	1324.7838098932934	2068.410057940455	1888.893681921616	2237.3734795186556	1762.5135934458103	1865.2639162521318	2095.7301807608783	1567.570830684106	1774.7991071898432	1573.2537803808318	1501.491723935951	1404.8251121096146	1812.8499570860622	1465.1417974514043	2139.9287178631876	1910.4600851040996	1544.1030049291712	1979.5469332482844	1363.7662871861394	1223.1414070706342	1612.596650080197	1517.6350759306933	1605.2300590197046	1794.4806658239668	1422.7459762401722	1604.7192800637786	1321.236983445424	2216.836557505798	2116.680652988798
KEGG_PHENYLALANINE_METABOLISM	-1015.0807115516545	-1319.9218096044196	-511.38571504931497	385.17882818693033	-568.3327285982268	-42.566882674202134	-966.0144108179138	-841.2836808223474	-252.41722050182943	-592.4579917695228	-192.31582607359815	-39.370052949690944	-747.7941051278631	475.36736037461196	-105.71238669919148	-642.199262778202	-486.49550756982535	-1016.7093327604762	-917.0375722038461	-743.1645215339722	-1452.276649925764	-1037.7074164518162	-2427.50700292699	-2484.138470686842	-2091.1954828230955	-515.6958297817619	-495.82531322541945	-746.5736567902313	-1315.6081953486082	-233.1267354881802	-95.0246682486486	-691.2123077637534	-1962.39751290005	-1278.2771136272058	-1813.7921865800427	-2154.3980106808367	-1132.3701592848229	-457.93557987289023	-1782.910486869553	-1404.80731644355	-1874.8149949073286	-1121.537525203672	-288.76633455125375	-1562.2252445840732	-923.6670488999825
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	3368.551006717569	3957.776459695695	3540.9102234230395	3883.2782758348912	3667.656457962423	4075.798536204222	4063.5447565198283	3693.0113491548527	3515.914446154962	3719.5221579918853	4141.792724850118	4793.964701408058	3422.1641912844043	3635.9633975743363	3716.1851811323595	3940.4843045814614	3139.203542111347	3540.428254141034	3017.3592429991913	3221.1431958884405	3629.914230646471	3836.832796295046	3552.455875469039	3120.168068040475	3590.2471403411746	4117.715541409165	4232.416067947655	4142.379715317329	3538.226495788178	3394.491084651774	4339.349783237021	3938.7549514579314	3448.908095387729	4112.917477650308	3713.530514337861	3148.410964133067	3719.32345621935	4684.558543930232	4001.2106761844916	3848.0674958019335	3671.5917346130627	4094.3140229827095	4046.86677464714	3543.5277219956843	3664.298529762069
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	-1994.5221739854878	-1954.8301463124872	-1384.5886483846698	-1572.1918405679444	-1869.6666950140125	-1398.6901104569051	-2077.7595993595733	-2032.244856381335	-1523.6404664116908	-1402.913481716525	-1977.5180108916584	-1594.8597634758853	-1481.5665826565264	-1898.8045381031934	-2010.3013105717882	-1490.5971190370092	-1115.7880749850265	-1704.6602822668092	-1804.9913252566384	-1393.9646374711992	-1855.4613838747746	-2167.6612785878087	-2296.180935841231	-2388.7798771019025	-2636.4634773626676	-1606.2493114091567	-2024.33895347438	-1492.9872593791824	-1757.8404901138883	-1945.9960393614492	-1577.5119288141605	-1527.2270861102443	-2277.822086096243	-1762.2041546789933	-2339.7749133887355	-2428.707059531882	-1961.8345815244165	-1839.7963180180132	-2395.343141720574	-1842.4052980512752	-2079.955884398396	-1846.0994620227111	-1418.4219197821276	-1739.0404807201694	-1302.2975523876448
KEGG_PPAR_SIGNALING_PATHWAY	758.4492495979939	716.673976921893	1231.6021463671477	1378.7407105329312	1383.6139791761161	1699.9238249438258	1169.051222985834	1075.8980052970892	877.0251689637917	859.5441229929875	1091.6553120386125	1071.877666604605	882.9436740315341	1715.1719287013384	900.9767221432721	1035.5642247226788	413.26818344311687	627.3883103235821	391.17999995252285	970.5069500363606	993.8704248594586	726.4363190529784	475.5990220831991	430.3629532785635	746.5867748897363	920.0708444583797	778.0460188118741	802.2361793080836	721.7943417777351	706.2075627106096	1299.7955580544512	1066.076707810853	490.321356066579	772.9540704130795	557.3860201571133	76.18216841415051	932.0413274831008	837.4352353393006	1098.059385057386	621.2391796521497	621.1532908892605	889.507080030493	497.6837572362165	1089.8520136793995	892.6326825527958
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	-1977.4287184753157	-1728.6132717317505	-1735.4518929357992	-683.0930318394312	-1524.1765058727988	-536.0520122046364	-758.043121906825	-2144.7259889385714	-1439.4055697439007	-1544.2367515878568	-1426.525993185247	-2045.238306153241	-1421.7229510325924	-553.4155770735706	-1727.1492985811437	-1712.7580205352897	-2999.728507730304	-1907.6762130464977	-2724.4631964004193	-1917.8197442890496	-2245.073940604577	-1625.126132845272	-1711.5334525264434	-2081.0843715620913	-1827.1419580940874	-1948.0941673070984	-2632.1584935189776	-2609.089658839486	-2739.2044167105823	-2230.5489158238224	-1109.8413295289192	-1924.8726310187694	-2232.4531078005557	-1152.750513257277	-2445.3343390643477	-2652.337532119768	-1944.66791254062	-1064.0941413653727	-1893.1338963382595	-1987.4132396138511	-2374.9643458317832	-2088.699109688525	-1423.3818117237379	-1740.9233894033514	-1409.0325198567853
